agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key,program_purpose,program_category,recipient_name,recipient_type,recipients,statutory_references,has_transfer_authority,has_interchange_authority,transfer_targets,requires_approval,approval_authority,set_aside_amount,set_aside_purpose,percentage_allocations,time_limits,has_notwithstanding
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53261,1999,346818000,596000,"28 By chapter 55, section 1, of the laws of 1999, as amended by chapter 55,
29 section 1, of the laws of 2003:
30 For the payment of costs, including the payment of liabilities
31 incurred prior to April 1, 1999, of preventive maintenance on state
32 roads and bridges as defined in paragraph (a) of subdivision 1 of
33 section 10-d of the highway law including personal services, nonper-
34 sonal services, fringe benefits and the contractual services
35 provided by private firms (17049922) (53261) .......................
36 346,818,000 ......................................... (re. $596,000)",1054,28.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53261|1999|346818000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2023,48261000,29309000,"1059 12554-09-5
DEPARTMENT OF TRANSPORTATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 Personal service (17P12330) (50000) ..................................
2 48,261,000 ....................................... (re. $29,309,000)",1059,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2023|48261000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2019,122000,1000,"42 Nonpersonal service (17P41930) (57050) ... 122,000 ...... (re. $1,000)",1059,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2019|122000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2021,31415000,3065000,"1063 12554-09-5
DEPARTMENT OF TRANSPORTATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 Personal service (17A12130) (50000) ..................................
2 31,415,000 ........................................ (re. $3,065,000)",1063,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2021|31415000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53166,2020,277832000,53131000,"1070 12554-09-5
DEPARTMENT OF TRANSPORTATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 fer Authority as defined in the 2020-21 state fiscal year state
2 operations appropriation for the budget division program of the
3 division of the budget, are deemed fully incorporated herein and a
4 part of this appropriation as if fully stated (53166).
5 Personal service (17E12030) (50000) ..................................
6 277,832,000 ...................................... (re. $53,131,000)",1070,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53166|2020|277832000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2018,10741000,155000,"13 Nonpersonal service (17E41830) (57050) ...............................
14 10,741,000 .......................................... (re. $155,000)",1071,13.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2018|10741000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2017,199520000,26215000,"1072 12554-09-5
DEPARTMENT OF TRANSPORTATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 Nonpersonal service (17EP1730) (57050) ...............................
2 199,520,000 ...................................... (re. $26,215,000)",1072,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2017|199520000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53166,2013,277000,277000,"19 By chapter 54, section 1, of the laws of 2013:
20 For engineering services, including personal services, nonpersonal
21 services, and fringe benefits, including, but not limited to, the
22 preparation of designs, plans, specifications and estimates;
23 construction management and supervision; and appraisals, surveys,
24 testing, and environmental impact statements for transportation
25 projects, and for suballocation of $175,000 to the office of the
26 inspector general (53166).
27 Nonpersonal service (17E41330) (57050) ... 9,911,000 .. (re. $277,000)",1073,19.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53166|2013|277000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53266,2017,6477000,363000,"30 By chapter 54, section 1, of the laws of 2017:
31 For the payment of personal services and fringe benefits of state
32 forces (53266).
33 Personal service (170117PT) (50000) ... 6,477,000 ..... (re. $363,000)",1087,30.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53266|2017|6477000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2017,3982000,241000,"34 Fringe benefits (170817PT) (60090) ... 3,982,000 ...... (re. $241,000)",1087,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2017|3982000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2017,191000,30000,"35 Indirect costs (170917PT) (58850) ... 191,000 .......... (re. $30,000)",1087,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2017|191000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53266,2016,6033000,403000,"36 By chapter 55, section 1, of the laws of 2016:
37 For the payment of personal services and fringe benefits of state
38 forces (53266).
39 Personal service (170116PT) (50000) ... 6,033,000 ..... (re. $403,000)",1087,36.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53266|2016|6033000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2016,3392000,35000,"40 Fringe benefits (170816PT) (60090) ... 3,392,000 ....... (re. $35,000)",1087,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2016|3392000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2016,162000,3000,"41 Indirect costs (170916PT) (58850) ... 162,000 ........... (re. $3,000)",1087,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2016|162000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2015,3356000,103000,"1088 12554-09-5
DEPARTMENT OF TRANSPORTATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 Fringe benefits (170815PT) (60090) ... 3,356,000 ...... (re. $103,000)",1088,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2015|3356000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2015,152000,5000,"2 Indirect costs (170915PT) (58850) ... 152,000 ........... (re. $5,000)",1088,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2015|152000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53266,2014,5906000,89000,"3 By chapter 54, section 1, of the laws of 2014:
4 For the payment of personal services and fringe benefits of state
5 forces (53266).
6 Personal service (170114PT) (50000) ... 5,906,000 ...... (re. $89,000)",1088,3.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53266|2014|5906000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2014,3359000,238000,"7 Fringe benefits (170814PT) (60090) ... 3,359,000 ...... (re. $238,000)",1088,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2014|3359000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2014,166000,12000,"8 Indirect costs (170914PT) (58850) ... 166,000 .......... (re. $12,000)",1088,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2014|166000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53266,2013,3133000,68000,"9 By chapter 54, section 1, of the laws of 2013:
10 For the payment of personal services and fringe benefits of state
11 forces in the office of passenger and freight transportation
12 (53266).
13 Fringe benefits (170813PT) (60090) ... 3,133,000 ....... (re. $68,000)",1088,9.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53266|2013|3133000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2013,176000,3000,"14 Indirect costs (170913PT) (58850) ... 176,000 ........... (re. $3,000)",1088,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2013|176000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53266,2012,5670000,117000,"15 By chapter 54, section 1, of the laws of 2012:
16 For the payment of personal services and fringe benefits of state
17 forces in the office of passenger and freight transportation
18 (53266).
19 Personal service (170112PT) (50000) ... 5,670,000 ..... (re. $117,000)",1088,15.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53266|2012|5670000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2012,2931000,20000,"20 Fringe benefits (170812PT) (60090) ... 2,931,000 ....... (re. $20,000)",1088,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2012|2931000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,53266,2010,8885000,607000,"21 By chapter 55, section 1, of the laws of 2010:
22 For the payment of personal services and fringe benefits of state
23 forces in the office of passenger and freight transportation
24 (170110PT) (53266) ... 8,885,000 .................... (re. $607,000)",1088,21.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|53266|2010|8885000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,54263,2017,3430000,1159000,"1 By chapter 54, section 1, of the laws of 2017:
2 For motor carrier safety, including personal services, nonpersonal
3 services, and fringe benefits.
4 Notwithstanding any other provision of law to the contrary, the OGS
5 Interchange and Transfer Authority, and the IT Interchange and
6 Transfer Authority as defined in the 2017-18 state fiscal year state
7 operations appropriation for the budget division program of the
8 division of the budget, are deemed fully incorporated herein and a
9 part of this appropriation as if fully stated (54263).
10 Personal service (172117PT) (50000) ... 3,430,000 ... (re. $1,159,000)",1089,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|54263|2017|3430000,,,,,[],[],False,False,[],False,,,,[],[],True
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2017,1531000,692000,"11 Nonpersonal service (172417PT) (57050) ...............................
12 1,531,000 ........................................... (re. $692,000)",1089,11.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2017|1531000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2017,2109000,56000,"13 Fringe benefits (172817PT) (60090) ... 2,109,000 ....... (re. $56,000)",1089,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2017|2109000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,54263,2016,3347000,960000,"14 By chapter 55, section 1, of the laws of 2016:
15 For motor carrier safety, including personal services, nonpersonal
16 services, and fringe benefits.
17 Notwithstanding any other provision of law to the contrary, the OGS
18 Interchange and Transfer Authority and the IT Interchange and Trans-
19 fer Authority as defined in the 2016-17 state fiscal year state
20 operations appropriation for the budget division program of the
21 division of the budget, are deemed fully incorporated herein and a
22 part of this appropriation as if fully stated (54263).
23 Personal service (172116PT) (50000) ... 3,347,000 ..... (re. $960,000)",1089,14.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|54263|2016|3347000,,,,,[],[],False,False,[],False,,,,[],[],True
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2016,1531000,916000,"24 Nonpersonal service (172416PT) (57050) ...............................
25 1,531,000 ........................................... (re. $916,000)",1089,24.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2016|1531000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2016,1882000,418000,"26 Fringe benefits (172816PT) (60090) ... 1,882,000 ...... (re. $418,000)",1089,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2016|1882000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2016,90000,27000,"27 Indirect costs (172916PT) (58850) ... 90,000 ........... (re. $27,000)",1089,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2016|90000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,54263,2015,3175000,1279000,"28 By chapter 54, section 1, of the laws of 2015:
29 For motor carrier safety, including personal services, nonpersonal
30 services, and fringe benefits.
31 Notwithstanding any other provision of law to the contrary, the OGS
32 Interchange and Transfer Authority and the IT Interchange and Trans-
33 fer Authority as defined in the 2015-16 state fiscal year state
34 operations appropriation for the budget division program of the
35 division of the budget, are deemed fully incorporated herein and a
36 part of this appropriation as if fully stated (54263).
37 Personal service (172115PT) (50000) ... 3,175,000 ... (re. $1,279,000)",1089,28.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|54263|2015|3175000,,,,,[],[],False,False,[],False,,,,[],[],True
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2015,516000,516000,"38 Nonpersonal service (172415PT) (57050) ... 1,531,000 .. (re. $516,000)",1089,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2015|516000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2015,1774000,478000,"39 Fringe benefits (172815PT) (60090) ... 1,774,000 ...... (re. $478,000)",1089,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2015|1774000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2015,81000,29000,"40 Indirect costs (172915PT) (58850) ... 81,000 ........... (re. $29,000)",1089,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2015|81000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2014,2949000,215000,"1090 12554-09-5
DEPARTMENT OF TRANSPORTATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 Personal service (172114PT) (50000) ... 2,949,000 ..... (re. $215,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2014|2949000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2014,1905000,1045000,"2 Nonpersonal service (172414PT) (57050) ...............................
3 1,905,000 ......................................... (re. $1,045,000)",1090,2.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2014|1905000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2014,83000,12000,"4 Indirect costs (172914PT) (58850) ... 83,000 ........... (re. $12,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2014|83000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,54264,2017,674000,60000,"6 By chapter 54, section 1, of the laws of 2017:
7 For rail safety, including personal services, nonpersonal services,
8 and fringe benefits (54264).
9 Personal service (171117PT) (50000) ... 674,000 ........ (re. $60,000)",1090,6.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|54264|2017|674000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2017,87000,39000,"10 Nonpersonal service (171417PT) (57050) ... 87,000 ...... (re. $39,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2017|87000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2017,414000,36000,"11 Fringe benefits (171817PT) (60090) ... 414,000 ......... (re. $36,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2017|414000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2017,20000,4000,"12 Indirect costs (171917PT) (58850) ... 20,000 ............ (re. $4,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2017|20000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,54264,2016,674000,173000,"13 By chapter 55, section 1, of the laws of 2016:
14 For rail safety, including personal services, nonpersonal services,
15 and fringe benefits (54264).
16 Personal service (171116PT) (50000) ... 674,000 ....... (re. $173,000)",1090,13.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|54264|2016|674000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2016,87000,37000,"17 Nonpersonal service (171416PT) (57050) ... 87,000 ...... (re. $37,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2016|87000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2016,379000,36000,"18 Fringe benefits (171816PT) (60090) ... 379,000 ......... (re. $36,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2016|379000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2016,18000,2000,"19 Indirect costs (171916PT) (58850) ... 18,000 ............ (re. $2,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2016|18000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,54264,2015,674000,87000,"20 By chapter 54, section 1, of the laws of 2015:
21 For rail safety, including personal services, nonpersonal services,
22 and fringe benefits (54264).
23 Personal service (171115PT) (50000) ... 674,000 ........ (re. $87,000)",1090,20.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|54264|2015|674000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2015,87000,55000,"24 Nonpersonal service (171415PT) (57050) ... 87,000 ...... (re. $55,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2015|87000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2015,377000,81000,"25 Fringe benefits (171815PT) (60090) ... 377,000 ......... (re. $81,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2015|377000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2015,17000,4000,"26 Indirect costs (171915PT) (58850) ... 17,000 ............ (re. $4,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2015|17000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,54264,2014,702000,118000,"27 By chapter 54, section 1, of the laws of 2014:
28 For rail safety, including personal services, nonpersonal services,
29 and fringe benefits (54264).
30 Personal service (171114PT) (50000) ... 702,000 ....... (re. $118,000)",1090,27.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|54264|2014|702000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2014,66000,19000,"31 Nonpersonal service (171414PT) (57050) ... 66,000 ...... (re. $19,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2014|66000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,60090,2014,399000,96000,"32 Fringe benefits (171814PT) (60090) ... 399,000 ......... (re. $96,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|60090|2014|399000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,58850,2014,19000,4000,"33 Indirect costs (171914PT) (58850) ... 19,000 ............ (re. $4,000)",1090,,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|58850|2014|19000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,54267,2019,438097000,5429000,"1100 12554-09-5
DEPARTMENT OF TRANSPORTATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 The sum of $379,300,000 to counties, cities, towns and villages for
2 reimbursement of eligible costs of local highway and bridge projects
3 pursuant to sections 16 and 16-a of chapter 329 of the laws of 1991,
4 as added by section 9 of chapter 330 of the laws of 1991, as
5 amended. For the purposes of computing allocations to munici-
6 palities, the amount distributed pursuant to section 16 of chapter
7 329 of the laws of 1991 shall be deemed to be $125,540,000. The
8 amount distributed pursuant to section 16-a of chapter 329 of the
9 laws of 1991 shall be deemed to be $253,760,000. Notwithstanding the
10 provisions of any general or special law, the amounts deemed
11 distributed in accordance with section 16 of chapter 329 of the laws
12 of 1991 shall be adjusted so that such amounts will not be less than
13 86.579 percent of the ""funding level"" as defined in subdivision 5 of
14 section 10-c of the highway law for each such municipality. In order
15 to achieve the objectives of section 16 of chapter 329 of the laws
16 of 1991, to the extent necessary, the amounts in excess of 86.579
17 percent of the funding level to be deemed distributed to each muni-
18 cipality under this subdivision shall be reduced in equal propor-
19 tion.
20 The sum of $58,797,000 to municipalities for reimbursement of eligible
21 costs of local highway and bridge projects pursuant to sections 16
22 and 16-a of chapter 329 of the laws of 1991, as added by section 9
23 of chapter 330 of the laws of 1991, as amended. For the purposes of
24 computing allocations to municipalities, the amount distributed
25 pursuant to section 16 of chapter 329 of the laws of 1991 shall be
26 deemed to be $19,460,000. The amount distributed pursuant to section
27 16-a of chapter 329 of the laws of 1991 shall be deemed to be
28 $39,337,000. Notwithstanding the provisions of any general or
29 special law, the amounts deemed distributed in accordance with
30 section 16 of chapter 329 of the laws of 1991 shall be adjusted so
31 that such amounts will not be less than 13.421 percent of the ""fund-
32 ing level"" as defined in subdivision 5 of section 10-c of the high-
33 way law for each such municipality. In order to achieve the objec-
34 tives of section 16 of chapter 329 of the laws of 1991, to the
35 extent necessary, the amounts in excess of 13.421 percent of the
36 funding level to be deemed distributed to each municipality under
37 this paragraph shall be reduced in equal proportion. To the extent
38 that the total of remaining payment allocations calculated herein
39 varies from $58,797,000, the payment amounts to each locality shall
40 be adjusted by a uniform percentage so that the total payments equal
41 $58,797,000.
42 Payments shall be made on the fifteenth day of June, September, Decem-
43 ber and March (17CH1921) (54267) ...................................
44 438,097,000 ....................................... (re. $5,429,000)",1100,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|54267|2019|438097000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
